Agricultural Zone,Month,Week,Rainfall (mm),Mean Temp. (*C),RHmean (%),SShr (hrs),WD (deg),WS (Km/hr),label
Rajshahi,February,3,4.0,24.3,61.5,59.0,220.0,5.4,Badam Kharip - 1
Rangpur,March,1,1.0,23.0,64.7,57.5,207.0,7.8,Badam Kharip - 1
Barisal,January,4,2.7,20.5,71.7,50.3,217.0,5.0,Guava
Dhaka,January,4,3.5,19.9,67.3,49.5,241.0,4.3,Guava
Dinajpur,January,4,1.0,18.1,71.2,44.0,241.0,3.7,Guava
Faridpur,January,4,3.5,19.8,70.8,49.0,205.0,3.4,Guava
Jashore,January,4,6.5,19.3,69.5,47.5,186.0,3.2,Guava
Khulna,January,4,5.5,20.4,70.0,52.5,190.0,4.9,Guava
Mymensingh,January,4,2.0,19.5,70.3,44.0,228.0,3.7,Guava
Rajshahi,January,4,4.0,18.8,70.0,51.0,198.0,3.9,Guava
Bogra,December,1,0.0,21.4,70.9,54.0,222.0,3.7,jackfruit
Chittagonj,December,1,1.0,22.8,71.9,54.8,204.0,5.1,jackfruit
Dhaka,December,1,1.5,21.5,71.2,48.5,219.0,3.7,jackfruit
Dinajpur,December,1,0.0,20.2,72.6,48.0,183.0,2.6,jackfruit
Jashore,December,1,2.0,20.9,71.2,47.5,184.0,2.3,jackfruit
Mymensingh,December,1,1.0,21.3,73.8,49.0,191.0,3.0,jackfruit
Rajshahi,December,1,21.0,20.5,70.8,51.0,143.0,3.7,jackfruit
Rangamati,December,1,0.0,22.3,75.8,53.0,169.0,3.7,jackfruit
Rangpur,December,1,0.0,20.4,74.2,49.5,129.0,6.0,jackfruit
Dhaka,July,4,82.0,29.1,82.7,32.0,159.0,5.9,indian jujube
Rajshahi,July,4,72.0,29.3,85.4,34.0,140.0,6.7,indian jujube
Barisal,March,1,5.7,24.5,70.8,53.7,214.0,5.1,jute
Bogra,March,1,5.0,22.9,63.4,60.0,235.0,5.7,jute
Cumilla,March,1,4.5,23.9,70.3,52.5,215.0,4.6,jute
Dhaka,March,1,3.5,23.7,63.0,56.0,234.0,5.0,jute
Dinajpur,March,1,4.0,24.1,61.3,59.0,212.0,5.4,jute
Faridpur,March,1,5.0,24.0,66.4,54.5,222.0,4.5,jute
Jashore,April,1,11.5,29.2,66.9,55.5,209.0,5.1,jute
Khulna,April,1,12.5,29.5,71.5,59.0,202.0,7.1,jute
Mymensingh,March,1,1.0,22.9,67.6,51.0,214.0,5.0,jute
Rajshahi,March,2,3.0,25.4,59.6,59.0,214.0,5.4,jute
Rangpur,March,1,2.5,21.9,67.1,56.6,201.0,7.7,jute
Bogra,January,1,0.0,18.1,72.5,44.0,258.0,4.3,licchi
Dinajpur,January,1,2.0,16.7,75.9,34.0,225.0,3.7,licchi
Jashore,January,1,0.5,17.7,72.5,41.0,158.0,3.0,licchi
Mymensingh,January,1,0.0,18.2,74.4,41.0,230.0,3.7,licchi
Rajshahi,January,1,1.0,17.5,72.9,42.0,146.0,3.9,licchi
Rangamati,January,1,0.0,19.8,73.3,52.0,165.0,3.7,licchi
Rangpur,January,1,1.0,16.8,77.3,36.0,199.0,5.7,licchi
Cumilla,April,3,33.0,28.4,77.4,52.5,185.0,7.7,corn khorip-1
Dhaka,April,3,31.5,28.9,71.7,55.0,167.0,6.6,corn khorip-1
Dinajpur,March,3,4.0,24.1,61.4,59.0,212.0,5.4,corn khorip-1
Mymensingh,April,3,40.0,27.5,76.1,49.0,143.0,7.2,corn khorip-1
Rajshahi,March,2,5.0,22.8,63.1,59.0,209.0,5.0,corn khorip-1
Rangamati,March,1,5.0,24.3,65.2,59.0,193.0,4.4,corn khorip-1
Rangpur,April,3,28.5,27.1,73.3,47.5,135.0,8.3,corn khorip-1
Barisal,December,1,1.7,21.7,74.3,48.7,225.0,3.1,Corn(Robi)
Bogra,October,2,25.0,27.7,78.9,54.0,199.0,5.0,Corn(Robi)
Chittagonj,December,1,1.0,22.8,71.9,54.8,204.0,5.1,Corn(Robi)
Cumilla,November,1,18.0,25.7,76.9,49.5,183.0,3.7,Corn(Robi)
Dhaka,October,3,26.0,26.9,75.2,54.0,190.0,3.8,Corn(Robi)
Dinajpur,November,2,0.0,23.0,73.8,52.0,154.0,3.7,Corn(Robi)
Faridpur,December,1,0.5,21.3,73.0,47.0,201.0,2.8,Corn(Robi)
Jashore,September,1,52.5,29.5,83.9,31.5,180.0,4.1,Corn(Robi)
Khulna,December,1,1.0,21.5,71.0,52.0,194.0,4.0,Corn(Robi)
Mymensingh,December,1,1.0,21.3,73.8,49.0,191.0,3.0,Corn(Robi)
Rajshahi,November,2,1.3,23.6,72.6,54.0,151.0,3.7,Corn(Robi)
Rangamati,October,2,39.0,27.8,80.7,49.0,204.0,3.7,Corn(Robi)
Rangpur,October,2,35.5,26.8,79.9,51.5,134.0,6.3,Corn(Robi)
Sylhet,December,1,0.5,21.1,73.0,55.5,177.0,4.2,Corn(Robi)
Barisal,December,1,1.7,21.7,74.3,48.7,225.0,3.1,masterd seed
Bogra,November,3,0.0,23.5,71.1,56.0,205.0,3.7,masterd seed
Chittagonj,December,1,10.0,22.8,71.9,54.8,204.0,5.1,masterd seed
Cumilla,November,1,18.0,25.7,76.9,49.5,183.0,3.7,masterd seed
Dhaka,November,3,1.5,23.2,71.0,52.0,212.0,3.7,masterd seed
Dinajpur,November,3,0.0,22.2,71.7,54.0,164.0,3.7,masterd seed
Faridpur,October,1,43.0,28.9,82.7,39.5,206.0,3.7,masterd seed
Jashore,November,1,8.0,25.3,74.0,48.5,175.0,2.3,masterd seed
Khulna,October,1,41.0,29.1,83.0,41.5,189.0,4.3,masterd seed
Mymensingh,November,3,0.0,23.0,74.0,53.0,186.0,3.7,masterd seed
Rajshahi,November,3,0.0,22.8,71.4,55.0,146.0,3.7,masterd seed
Rangpur,November,3,0.0,22.3,72.9,54.0,134.0,6.4,masterd seed
Sylhet,December,1,0.5,21.1,73.0,55.5,177.0,4.2,masterd seed
Bogra,August,1,63.0,29.3,83.6,35.0,137.0,6.3,robi onion
Chittagonj,December,1,1.0,22.8,71.9,54.8,204.0,5.1,robi onion
Dhaka,November,1,10.0,25.5,73.2,51.5,189.0,3.7,robi onion
Dinajpur,April,1,8.0,26.7,63.8,52.0,171.0,5.6,khorip onion
Faridpur,November,1,11.5,26.4,76.4,48.5,202.0,2.8,robi onion
Jashore,February,1,6.5,19.3,59.5,47.5,186.0,3.2,robi onion
Mymensingh,November,1,5.0,25.0,76.7,53.0,181.0,3.9,robi onion
Rajshahi,December,1,0.0,20.4,74.2,49.5,129.0,6.0,robi onion
Rangpur,December,1,1.0,22.8,71.9,54.8,204.0,5.1,robi onion
Barisal,February,4,14.0,27.6,73.6,52.3,210.0,6.3,papaya
Bogra,February,4,3.0,26.5,62.7,58.0,205.0,6.7,papaya
Dhaka,February,4,14.0,27.3,64.3,55.5,206.0,6.2,papaya
Dinajpur,February,4,2.0,25.3,61.2,55.0,192.0,5.6,papaya
Jashore,February,4,12.0,27.7,64.4,53.0,212.0,4.4,papaya
Mymensingh,February,4,11.0,25.9,69.0,48.0,179.0,6.3,papaya
Rajshahi,February,4,4.0,27.0,59.4,59.0,208.0,5.6,papaya
Barisal,October,3,41.0,28.1,82.9,44.7,228.0,3.6,robi pumpkin Cucurbita
Bogra,October,3,25.0,27.7,78.9,54.0,199.0,5.0,robi pumpkin Cucurbita
Cumilla,October,3,30.5,28.0,80.6,44.5,201.0,4.3,robi pumpkin Cucurbita
Dhaka,October,3,40.5,27.9,77.6,47.5,192.0,4.1,robi pumpkin Cucurbita
Jashore,November,1,9.0,25.9,76.0,45.5,153.0,2.5,robi pumpkin Cucurbita
Khulna,October,3,31.5,28.3,79.8,49.5,193.0,4.1,robi pumpkin Cucurbita
Mymensingh,October,1,71.0,28.5,84.1,40.0,181.0,4.3,robi pumpkin Cucurbita
Rajshahi,November,1,7.0,27.4,78.5,53.0,146.0,3.9,robi pumpkin Cucurbita
Barisal,March,1,5.3,25.6,71.2,54.0,226.0,5.2,khorip pumpkin Cucurbita
Bogra,April,1,8.0,28.1,66.2,56.0,173.0,6.7,khorip pumpkin Cucurbita
Cumilla,February,1,3.0,20.2,71.1,47.0,203.0,4.6,khorip pumpkin Cucurbita
Dhaka,March,1,30.0,23.7,63.0,56.0,234.0,5.0,khorip pumpkin Cucurbita
Jashore,April,1,11.5,29.2,66.9,55.5,209.0,5.1,khorip pumpkin Cucurbita
Khulna,February,1,5.5,20.3,70.0,52.5,190.0,4.9,khorip pumpkin Cucurbita
Mymensingh,April,1,20.0,27.0,72.5,49.0,149.0,7.2,khorip pumpkin Cucurbita
Rajshahi,April,1,13.0,29.1,61.6,57.0,185.0,6.1,khorip pumpkin Cucurbita
Sylhet,April,1,20.0,27.0,72.5,49.0,149.0,7.2,khorip pumpkin Cucurbita
Barisal,April,1,18.0,28.5,77.3,53.0,200.0,6.9,Aush
Bogra,May,1,45.0,28.9,76.449,49.0,126.0,6.7,Aush
Cumilla,May,1,66.0,28.9,79.6,46.5,183.0,7.5,Aush
Dhaka,May,1,46.0,28.6,74.5,51.5,159.0,6.8,Aush
Rangpur,April,1,11.0,26.2,69.1,51.5,148.0,8.3,Aush
Rangamati,April,1,21.0,27.7,69.8,55.0,205.0,6.1,Aush
Rajshahi,June,1,48.0,30.5,78.6,48.0,139.0,6.7,Aush
Mymensingh,May,1,62.0,27.8,79.3,44.0,134.0,6.8,Aush
Khulna,May,1,17.5,30.1,72.8,61.5,192.0,7.6,Aush
Jashore,June,1,49.5,30.7,78.1,41.5,183.0,4.6,Aush
Faridpur,April,1,18.0,28.5,77.3,53.0,200.0,6.9,Aush
Dinajpur,April,1,8.0,26.7,63.8,52.0,171.0,5.6,Aush
Dhaka,May,1,21.0,29.0,69.2,54.0,175.0,6.6,Aush
Rajshahi,July,1,49.64876044504555,29.999121678024263,81.93055508350898,34.97006053010265,126.63677465084751,6.598485256570422,Aman
Bogra,August,1,63.858414073704566,29.305453002883596,83.73168602578666,34.995355136431854,137.97818842609357,6.160029542203434,Aman
Khulna,August,3,73.49277054601028,29.08754499412932,85.83147239603066,31.240212257851624,167.2412736937379,6.6690951303282775,Aman
Dhaka,July,2,73.06534306746974,29.087776185287243,83.08562200695995,32.04587796418636,158.7820915803972,6.015201684233568,Aman
